symbol,latest_form,prev_form,filing_date,prev_date,edge_score,edge_label,drift_alert,similarity,sentiment_drift,horizon_days,forward_return_pct,hit_directional,hit_abs_gt_0,signal_direction,top_signal_types,edge_summary
META,10-K,10-Q,2026-01-29,2025-10-30,5.74,Neutral filing drift,False,0.9979717503633544,0.0029486793841973467,252,-11.46,False,False,positive,opportunity_emerging,mda tone/opportunity signals improved.
META,10-Q,10-Q,2025-10-30,2025-07-31,0.04,Neutral filing drift,False,0.999952059320374,-6.723863935576002e-05,30,-3.34,,False,neutral,,Narrative remains broadly consistent with prior filing.
META,10-Q,10-Q,2025-10-30,2025-07-31,0.04,Neutral filing drift,False,0.999952059320374,-6.723863935576002e-05,90,-1.84,,False,neutral,,Narrative remains broadly consistent with prior filing.
META,10-Q,10-Q,2025-10-30,2025-07-31,0.04,Neutral filing drift,False,0.999952059320374,-6.723863935576002e-05,252,-1.84,,False,neutral,,Narrative remains broadly consistent with prior filing.
META,10-Q,10-Q,2025-07-31,2025-05-01,0.4,Neutral filing drift,False,0.999359448612057,0.0012311133677125191,30,-2.31,,False,neutral,,Narrative remains broadly consistent with prior filing.
META,10-Q,10-Q,2025-07-31,2025-05-01,0.4,Neutral filing drift,False,0.999359448612057,0.0012311133677125191,90,-13.73,,False,neutral,,Narrative remains broadly consistent with prior filing.
META,10-Q,10-Q,2025-07-31,2025-05-01,0.4,Neutral filing drift,False,0.999359448612057,0.0012311133677125191,252,-15.36,,False,neutral,,Narrative remains broadly consistent with prior filing.
META,10-Q,10-K,2025-05-01,2025-01-30,-0.87,Neutral filing drift,False,0.9979685587992472,-0.0004207705668914617,30,19.34,,True,neutral,,Narrative remains broadly consistent with prior filing.
META,10-Q,10-K,2025-05-01,2025-01-30,-0.87,Neutral filing drift,False,0.9979685587992472,-0.0004207705668914617,90,31.52,,True,neutral,,Narrative remains broadly consistent with prior filing.
META,10-Q,10-K,2025-05-01,2025-01-30,-0.87,Neutral filing drift,False,0.9979685587992472,-0.0004207705668914617,252,14.5,,True,neutral,,Narrative remains broadly consistent with prior filing.
TSLA,10-K,10-Q,2026-01-29,2025-10-23,-5.52,Neutral filing drift,True,0.09812184687592992,0.12003091063067305,30,0.2,False,True,negative,"risk_rising,risk_rising,opportunity_emerging,opportunity_emerging",mda language became more cautious/risk-heavy.
TSLA,10-K,10-Q,2026-01-29,2025-10-23,-5.52,Neutral filing drift,True,0.09812184687592992,0.12003091063067305,90,0.2,False,True,negative,"risk_rising,risk_rising,opportunity_emerging,opportunity_emerging",mda language became more cautious/risk-heavy.
